iter	Passed	Remaining
0	3	302
1	5	251
2	6	222
3	8	203
4	11	209
5	13	212
6	14	198
7	16	195
8	18	185
9	19	176
10	20	167
11	21	160
12	23	155
13	25	154
14	27	156
15	29	152
16	30	148
17	31	144
18	32	139
19	33	135
20	35	132
21	36	129
22	38	127
23	39	124
24	42	126
25	43	123
26	45	122
27	46	120
28	47	117
29	50	117
30	51	115
31	53	114
32	56	113
33	58	114
34	60	112
35	61	109
36	63	108
37	66	107
38	69	108
39	72	108
40	74	107
41	75	104
42	77	102
43	79	101
44	82	100
45	86	101
46	88	99
47	90	98
48	92	96
49	95	95
50	96	92
51	100	92
52	102	91
53	104	89
54	106	86
55	108	84
56	109	82
57	113	82
58	116	81
59	118	79
60	120	77
61	122	75
62	124	73
63	130	73
64	134	72
65	136	70
66	137	67
67	141	66
68	144	64
69	147	63
70	149	61
71	151	58
72	152	56
73	154	54
74	156	52
75	160	50
76	162	48
77	164	46
78	166	44
79	168	42
80	170	40
81	173	37
82	176	36
83	177	33
84	179	31
85	181	29
86	183	27
87	185	25
88	189	23
89	190	21
90	192	19
91	194	16
92	196	14
93	198	12
94	200	10
95	204	8
96	206	6
97	208	4
98	210	2
99	211	0
