iter	Passed	Remaining
0	157	156875
1	158	79156
2	159	53079
3	160	40069
4	162	32392
5	163	27160
6	165	23408
7	165	20583
8	167	18401
9	168	16644
10	169	15215
11	170	14016
12	171	13051
13	173	12192
14	174	11448
15	175	10796
16	176	10209
17	177	9683
18	178	9215
19	179	8798
20	180	8417
21	181	8074
22	182	7755
23	183	7462
24	184	7192
25	185	6958
26	186	6734
27	188	6526
28	188	6327
29	190	6149
30	191	5977
31	192	5814
32	193	5663
33	194	5520
34	195	5385
35	196	5258
36	197	5137
37	198	5023
38	199	4920
39	200	4821
40	202	4727
41	203	4635
42	204	4548
43	205	4466
44	206	4385
45	207	4312
46	209	4250
47	211	4203
48	214	4166
49	216	4107
50	217	4041
51	218	3976
52	219	3915
53	220	3858
54	221	3800
55	222	3744
56	223	3689
57	224	3638
58	225	3600
59	227	3564
60	228	3520
61	230	3492
62	233	3468
63	234	3426
64	235	3383
65	236	3342
66	237	3301
67	237	3261
68	238	3223
69	239	3185
70	240	3150
71	242	3126
72	243	3096
73	245	3070
74	246	3040
75	247	3008
76	248	2977
77	249	2948
78	250	2919
79	251	2891
80	252	2863
81	253	2842
82	254	2812
83	255	2787
84	258	2783
85	260	2763
86	262	2751
87	263	2734
88	264	2711
89	266	2692
90	267	2670
91	268	2648
92	269	2627
93	271	2617
94	273	2608
95	275	2596
96	277	2581
97	278	2564
98	280	2550
99	281	2533
100	282	2516
101	283	2499
102	285	2490
103	288	2482
104	289	2467
105	291	2461
106	293	2447
107	294	2432
108	295	2418
109	297	2403
110	298	2387
111	301	2388
112	303	2380
113	305	2371
114	306	2358
115	307	2343
116	308	2327
117	309	2313
118	310	2299
119	311	2285
120	312	2271
121	314	2266
122	316	2255
123	317	2243
124	318	2232
125	320	2219
126	320	2205
127	322	2193
128	323	2181
129	324	2169
130	325	2157
131	326	2145
132	327	2133
133	328	2124
134	330	2115
135	331	2105
136	332	2095
137	333	2085
138	335	2075
139	336	2065
140	337	2055
141	338	2042
142	339	2033
143	340	2022
144	341	2012
145	342	2002
146	344	1997
147	345	1988
148	347	1984
149	348	1974
150	349	1965
151	350	1956
152	351	1947
153	352	1938
154	353	1929
155	355	1921
156	356	1912
157	357	1903
158	358	1897
159	359	1889
160	360	1880
161	362	1872
162	363	1865
163	364	1856
164	365	1849
165	366	1841
166	367	1833
167	368	1825
168	369	1817
169	370	1809
170	372	1803
171	373	1796
172	374	1792
173	376	1785
174	377	1778
175	378	1772
176	379	1765
177	380	1758
178	382	1752
179	383	1745
180	384	1739
181	385	1733
182	386	1727
183	389	1725
184	390	1719
185	391	1714
186	392	1707
187	393	1701
188	395	1695
189	396	1688
190	397	1682
191	398	1676
192	399	1670
193	400	1663
194	401	1657
195	403	1654
196	404	1648
197	405	1643
198	406	1637
199	407	1630
200	408	1624
201	409	1618
202	410	1612
203	411	1605
204	412	1599
205	413	1593
206	414	1586
207	415	1580
208	415	1573
209	417	1571
210	418	1565
211	420	1561
212	421	1555
213	421	1549
214	422	1543
215	423	1538
216	424	1532
217	425	1526
218	426	1521
219	427	1515
220	428	1509
221	429	1504
222	430	1498
223	430	1493
224	432	1489
225	433	1485
226	434	1480
227	435	1475
228	436	1469
229	437	1464
230	438	1458
231	439	1453
232	440	1448
233	440	1443
234	441	1438
235	442	1433
236	443	1428
237	444	1423
238	445	1418
239	446	1414
240	447	1410
241	448	1406
242	450	1402
243	450	1397
244	451	1392
245	452	1387
246	453	1383
247	454	1378
248	455	1373
249	456	1369
250	457	1365
251	458	1360
252	459	1356
253	460	1352
254	462	1349
255	463	1346
256	464	1342
257	465	1338
258	466	1334
259	467	1330
260	468	1325
261	469	1321
262	470	1318
263	471	1314
264	472	1310
265	474	1308
266	475	1304
267	477	1302
268	478	1299
269	479	1296
270	482	1297
271	483	1295
272	485	1291
273	486	1288
274	487	1284
275	488	1280
276	489	1277
277	490	1274
278	492	1271
279	493	1267
280	494	1264
281	495	1261
282	496	1257
283	497	1253
284	498	1250
285	499	1246
286	500	1243
287	501	1239
288	502	1236
289	503	1233
290	504	1230
291	506	1226
292	507	1223
293	508	1221
294	510	1218
295	511	1216
296	512	1212
297	513	1209
298	514	1206
299	515	1202
300	516	1199
301	517	1196
302	518	1192
303	519	1189
304	521	1187
305	522	1184
306	523	1182
307	524	1179
308	526	1176
309	526	1172
310	527	1169
311	528	1166
312	529	1162
313	530	1159
314	531	1156
315	532	1153
316	533	1149
317	534	1147
318	536	1144
319	537	1141
320	538	1138
321	539	1135
322	540	1132
323	541	1129
324	542	1126
325	543	1123
326	544	1120
327	545	1117
328	546	1114
329	547	1111
330	548	1108
331	550	1106
332	551	1105
333	553	1103
334	555	1101
335	556	1098
336	557	1096
337	558	1093
338	559	1090
339	560	1087
340	561	1084
341	562	1081
342	563	1078
343	565	1077
344	566	1075
345	567	1073
346	569	1071
347	570	1068
348	571	1065
349	572	1062
350	573	1059
351	574	1056
352	575	1054
353	575	1050
354	576	1048
355	578	1045
356	579	1044
357	581	1042
358	582	1040
359	583	1037
360	585	1035
361	586	1033
362	587	1030
363	588	1027
364	589	1024
365	590	1022
366	591	1019
367	592	1016
368	593	1014
369	594	1013
370	596	1011
371	598	1009
372	599	1008
373	600	1005
374	601	1002
375	602	1000
376	603	997
377	604	994
378	605	991
379	606	989
380	607	986
381	608	985
382	610	983
383	611	981
384	613	979
385	614	976
386	615	974
387	616	971
388	616	969
389	617	966
390	618	964
391	619	961
392	620	958
393	621	956
394	623	954
395	624	952
396	625	950
397	627	949
398	628	946
399	629	944
400	630	941
401	631	938
402	631	936
403	632	933
404	633	930
405	634	928
406	635	925
407	636	923
408	637	921
409	639	919
410	640	917
411	641	915
412	642	913
413	643	911
414	644	908
415	645	906
416	646	903
417	647	901
418	648	898
419	649	896
420	650	894
421	651	892
422	653	891
423	655	890
424	656	888
425	657	886
426	658	883
427	660	882
428	661	880
429	662	877
430	663	875
431	664	873
432	665	871
433	666	868
434	667	867
435	668	865
436	669	862
437	670	860
438	671	858
439	672	856
440	673	853
441	674	851
442	675	849
443	676	847
444	677	844
445	678	842
446	679	840
447	681	839
448	682	837
449	683	835
450	685	834
451	686	831
452	688	831
453	690	829
454	691	827
455	692	825
456	693	823
457	694	821
458	695	819
459	698	819
460	699	817
461	700	816
462	702	814
463	703	812
464	704	811
465	706	809
466	707	807
467	708	805
468	709	803
469	712	803
470	714	802
471	716	801
472	718	800
473	720	799
474	721	797
475	722	795
476	723	792
477	724	791
478	726	790
479	728	789
480	729	787
481	731	785
482	732	784
483	733	782
484	734	780
485	736	778
486	737	776
487	738	774
488	740	773
489	741	771
490	742	769
491	743	767
492	744	765
493	745	763
494	746	761
495	747	759
496	748	757
497	750	756
498	751	754
499	752	752
500	754	751
501	755	749
502	756	747
503	757	745
504	758	743
505	759	741
506	761	740
507	762	738
508	763	736
509	764	734
510	766	733
511	767	731
512	768	729
513	769	727
514	771	726
515	772	724
516	773	722
517	774	721
518	775	719
519	777	717
520	778	715
521	779	713
522	780	711
523	781	710
524	782	708
525	784	706
526	787	706
527	789	705
528	790	703
529	791	702
530	792	700
531	794	698
532	795	697
533	796	695
534	797	693
535	801	694
536	803	692
537	804	690
538	805	688
539	806	687
540	807	685
541	809	683
542	810	681
543	811	679
544	812	678
545	813	676
546	816	675
547	818	674
548	819	672
549	820	670
550	821	669
551	822	667
552	823	665
553	824	663
554	825	661
555	826	659
556	827	657
557	828	656
558	830	655
559	831	653
560	832	651
561	834	649
562	835	648
563	836	646
564	837	644
565	838	642
566	839	640
567	840	639
568	841	637
569	842	635
570	844	634
571	845	632
572	846	631
573	847	629
574	848	627
575	849	625
576	850	623
577	851	621
578	852	620
579	853	618
580	854	616
581	856	614
582	857	613
583	858	611
584	860	610
585	861	608
586	862	606
587	863	604
588	864	603
589	865	601
590	866	599
591	867	597
592	868	596
593	869	594
